agrovet_name,region,specialty,phone,email,statement,image_path
AnimalMart (Omondi),Naivasha,dairy equipment,+25476231947,animalmart_naivasha@agrovet.co.ke,"AnimalMart (Omondi), located in Naivasha County, specializes in dairy equipment. Contact: +25476231947, Email: animalmart_naivasha@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\AnimalMart_(Omondi)_1.jpg
CropHub (Okello),Kajiado,seed distribution,+25471266448,crophuboke_kajiado@yahoo.com,"CropHub (Okello), located in Kajiado County, specializes in seed distribution. Contact: +25471266448, Email: crophuboke_kajiado@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\CropHub_(Okello)_2.jpg
FarmDistributors (Omondi),Kajiado,poultry inputs,+25416109826,farmdistri_kajiado@gmail.com,"FarmDistributors (Omondi), located in Kajiado County, specializes in poultry inputs. Contact: +25416109826, Email: farmdistri_kajiado@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\FarmDistributors_(Omondi)_3.jpg
HarvestDepot (Omondi),Kitale,fertilizers,+25415383917,harvestdep_kitale@gmail.com,"HarvestDepot (Omondi), located in Kitale County, specializes in fertilizers. Contact: +25415383917, Email: harvestdep_kitale@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\HarvestDepot_(Omondi)_4.jpg
AnimalShop (Barasa),Isiolo,veterinary medicine,+254119020714,animalshop_isiolo@farmershub.co.ke,"AnimalShop (Barasa), located in Isiolo County, specializes in veterinary medicine. Contact: +254119020714, Email: animalshop_isiolo@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\AnimalShop_(Barasa)_5.jpg
RuralMart (Okello),Machakos,farm machinery,+25414100820,ruralmarto_machakos@agrovet.co.ke,"RuralMart (Okello), located in Machakos County, specializes in farm machinery. Contact: +25414100820, Email: ruralmarto_machakos@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\RuralMart_(Okello)_6.jpg
VetDepot (Wanjiku),Nakuru,vaccines,+254118152745,vetdepotwa_nakuru@gmail.com,"VetDepot (Wanjiku), located in Nakuru County, specializes in vaccines. Contact: +254118152745, Email: vetdepotwa_nakuru@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nakuru\VetDepot_(Wanjiku)_7.jpg
ProShop (Ochieng),Eldoret,animal health care,+25475622211,proshopoch_eldoret@outlook.com,"ProShop (Ochieng), located in Eldoret County, specializes in animal health care. Contact: +25475622211, Email: proshopoch_eldoret@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Eldoret\ProShop_(Ochieng)_8.jpg
FarmAgrovet (Kiptoo),Migori,beekeeping tools,+25477419528,farmagrove_migori@farmershub.co.ke,"FarmAgrovet (Kiptoo), located in Migori County, specializes in beekeeping tools. Contact: +25477419528, Email: farmagrove_migori@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\FarmAgrovet_(Kiptoo)_9.jpg
BioStores (Njoroge),Kajiado,beekeeping tools,+25476086838,biostoresn_kajiado@farmershub.co.ke,"BioStores (Njoroge), located in Kajiado County, specializes in beekeeping tools. Contact: +25476086838, Email: biostoresn_kajiado@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\BioStores_(Njoroge)_10.jpg
AnimalShop (Omondi),Machakos,veterinary medicine,+25417643944,animalshop_machakos@yahoo.com,"AnimalShop (Omondi), located in Machakos County, specializes in veterinary medicine. Contact: +25417643944, Email: animalshop_machakos@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\AnimalShop_(Omondi)_11.jpg
BioDistributors (Chebet),Kitale,vaccines,+25411763659,biodistrib_kitale@agrovet.co.ke,"BioDistributors (Chebet), located in Kitale County, specializes in vaccines. Contact: +25411763659, Email: biodistrib_kitale@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitale\BioDistributors_(Chebet)_12.jpg
DairyCenter (Koech),Naivasha,beekeeping tools,+25474416566,dairycente_naivasha@agrovet.co.ke,"DairyCenter (Koech), located in Naivasha County, specializes in beekeeping tools. Contact: +25474416566, Email: dairycente_naivasha@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\DairyCenter_(Koech)_13.jpg
FarmWorld (Barasa),Machakos,fish farming supplies,+254119187999,farmworldb_machakos@gmail.com,"FarmWorld (Barasa), located in Machakos County, specializes in fish farming supplies. Contact: +254119187999, Email: farmworldb_machakos@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\FarmWorld_(Barasa)_14.jpg
HarvestHub (Wanjiku),Machakos,fish farming supplies,+254116761305,harvesthub_machakos@gmail.com,"HarvestHub (Wanjiku), located in Machakos County, specializes in fish farming supplies. Contact: +254116761305, Email: harvesthub_machakos@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\HarvestHub_(Wanjiku)_15.jpg
ProCenter (Njoroge),Homa Bay,fertilizers,+254119603659,procentern_homabay@gmail.com,"ProCenter (Njoroge), located in Homa Bay County, specializes in fertilizers. Contact: +254119603659, Email: procentern_homabay@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\ProCenter_(Njoroge)_16.jpg
PrimeEnterprises (Njoroge),Kajiado,crop protection chemicals,+25477950086,primeenter_kajiado@farmershub.co.ke,"PrimeEnterprises (Njoroge), located in Kajiado County, specializes in crop protection chemicals. Contact: +25477950086, Email: primeenter_kajiado@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\PrimeEnterprises_(Njoroge)_17.jpg
AnimalSuppliers (Koech),Naivasha,fertilizers,+254112076269,animalsupp_naivasha@outlook.com,"AnimalSuppliers (Koech), located in Naivasha County, specializes in fertilizers. Contact: +254112076269, Email: animalsupp_naivasha@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\AnimalSuppliers_(Koech)_18.jpg
PrimeHub (Moraa),Migori,dairy equipment,+25410861679,primehubmo_migori@agrovet.co.ke,"PrimeHub (Moraa), located in Migori County, specializes in dairy equipment. Contact: +25410861679, Email: primehubmo_migori@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\PrimeHub_(Moraa)_19.jpg
AgriAgency (Achieng),Homa Bay,crop protection chemicals,+25470124360,agriagency_homabay@yahoo.com,"AgriAgency (Achieng), located in Homa Bay County, specializes in crop protection chemicals. Contact: +25470124360, Email: agriagency_homabay@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\AgriAgency_(Achieng)_20.jpg
DairyAgency (Kimani),Eldoret,animal health care,+254110603577,dairyagenc_eldoret@gmail.com,"DairyAgency (Kimani), located in Eldoret County, specializes in animal health care. Contact: +254110603577, Email: dairyagenc_eldoret@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Eldoret\DairyAgency_(Kimani)_21.jpg
FarmFarmers Ltd (Barasa),Nyeri,animal health care,+25476734574,farmfarmer_nyeri@farmershub.co.ke,"FarmFarmers Ltd (Barasa), located in Nyeri County, specializes in animal health care. Contact: +25476734574, Email: farmfarmer_nyeri@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nyeri\FarmFarmers_Ltd_(Barasa)_22.jpg
ProStores (Omondi),Siaya,fish farming supplies,+254119356774,prostoreso_siaya@farmershub.co.ke,"ProStores (Omondi), located in Siaya County, specializes in fish farming supplies. Contact: +254119356774, Email: prostoreso_siaya@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\ProStores_(Omondi)_23.jpg
BioMart (Koech),Isiolo,seed distribution,+25419693509,biomartkoe_isiolo@gmail.com,"BioMart (Koech), located in Isiolo County, specializes in seed distribution. Contact: +25419693509, Email: biomartkoe_isiolo@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Isiolo\BioMart_(Koech)_24.jpg
RuralFarmers Ltd (Okello),Kajiado,crop protection chemicals,+25473812198,ruralfarme_kajiado@agrovet.co.ke,"RuralFarmers Ltd (Okello), located in Kajiado County, specializes in crop protection chemicals. Contact: +25473812198, Email: ruralfarme_kajiado@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\RuralFarmers_Ltd_(Okello)_25.jpg
BioDistributors (Kilonzo),Kakamega,vaccines,+25417370656,biodistrib_kakamega@gmail.com,"BioDistributors (Kilonzo), located in Kakamega County, specializes in vaccines. Contact: +25417370656, Email: biodistrib_kakamega@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\BioDistributors_(Kilonzo)_26.jpg
BioShop (Ochieng),Naivasha,beekeeping tools,+25472723974,bioshopoch_naivasha@outlook.com,"BioShop (Ochieng), located in Naivasha County, specializes in beekeeping tools. Contact: +25472723974, Email: bioshopoch_naivasha@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\BioShop_(Ochieng)_27.jpg
ProSolutions (Wanjiku),Uasin Gishu,livestock feeds,+254114047485,prosolutio_uasingishu@gmail.com,"ProSolutions (Wanjiku), located in Uasin Gishu County, specializes in livestock feeds. Contact: +254114047485, Email: prosolutio_uasingishu@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\ProSolutions_(Wanjiku)_28.jpg
EcoSuppliers (Omondi),Nakuru,livestock feeds,+25470488854,ecosupplie_nakuru@gmail.com,"EcoSuppliers (Omondi), located in Nakuru County, specializes in livestock feeds. Contact: +25470488854, Email: ecosupplie_nakuru@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nakuru\EcoSuppliers_(Omondi)_29.jpg
HarvestFarmers Ltd (Achieng),Machakos,livestock feeds,+25412380174,harvestfar_machakos@yahoo.com,"HarvestFarmers Ltd (Achieng), located in Machakos County, specializes in livestock feeds. Contact: +25412380174, Email: harvestfar_machakos@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\HarvestFarmers_Ltd_(Achieng)_30.jpg
CropDistributors (Barasa),Meru,dairy equipment,+25411100766,cropdistri_meru@outlook.com,"CropDistributors (Barasa), located in Meru County, specializes in dairy equipment. Contact: +25411100766, Email: cropdistri_meru@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Meru\CropDistributors_(Barasa)_31.jpg
FarmServices (Njoroge),Siaya,poultry inputs,+25471197214,farmservic_siaya@agrovet.co.ke,"FarmServices (Njoroge), located in Siaya County, specializes in poultry inputs. Contact: +25471197214, Email: farmservic_siaya@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\FarmServices_(Njoroge)_32.jpg
AgriAgrovet (Njoroge),Homa Bay,fish farming supplies,+254117780561,agriagrove_homabay@yahoo.com,"AgriAgrovet (Njoroge), located in Homa Bay County, specializes in fish farming supplies. Contact: +254117780561, Email: agriagrove_homabay@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\AgriAgrovet_(Njoroge)_33.jpg
LivestockMart (Otieno),Siaya,animal health care,+25478145684,livestockm_siaya@farmershub.co.ke,"LivestockMart (Otieno), located in Siaya County, specializes in animal health care. Contact: +25478145684, Email: livestockm_siaya@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\LivestockMart_(Otieno)_34.jpg
AgroDepot (Kiptoo),Kitui,fish farming supplies,+254114117438,agrodepotk_kitui@outlook.com,"AgroDepot (Kiptoo), located in Kitui County, specializes in fish farming supplies. Contact: +254114117438, Email: agrodepotk_kitui@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kitui\AgroDepot_(Kiptoo)_35.jpg
BioStores (Achieng),Siaya,dairy equipment,+254117978892,biostoresa_siaya@yahoo.com,"BioStores (Achieng), located in Siaya County, specializes in dairy equipment. Contact: +254117978892, Email: biostoresa_siaya@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\BioStores_(Achieng)_36.jpg
HarvestServices (Cheruiyot),Mombasa,farm machinery,+25418189243,harvestser_mombasa@yahoo.com,"HarvestServices (Cheruiyot), located in Mombasa County, specializes in farm machinery. Contact: +25418189243, Email: harvestser_mombasa@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\HarvestServices_(Cheruiyot)_37.jpg
ProHub (Mwangi),Kakamega,vaccines,+25477495522,prohubmwan_kakamega@outlook.com,"ProHub (Mwangi), located in Kakamega County, specializes in vaccines. Contact: +25477495522, Email: prohubmwan_kakamega@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kakamega\ProHub_(Mwangi)_38.jpg
AnimalWorld (Okello),Machakos,seed distribution,+25411939064,animalworl_machakos@gmail.com,"AnimalWorld (Okello), located in Machakos County, specializes in seed distribution. Contact: +25411939064, Email: animalworl_machakos@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\AnimalWorld_(Okello)_39.jpg
AgroWorld (Chebet),Mombasa,vaccines,+25411780840,agroworldc_mombasa@agrovet.co.ke,"AgroWorld (Chebet), located in Mombasa County, specializes in vaccines. Contact: +25411780840, Email: agroworldc_mombasa@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\AgroWorld_(Chebet)_40.jpg
DairySuppliers (Kilonzo),Siaya,farm machinery,+25416982615,dairysuppl_siaya@yahoo.com,"DairySuppliers (Kilonzo), located in Siaya County, specializes in farm machinery. Contact: +25416982615, Email: dairysuppl_siaya@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\DairySuppliers_(Kilonzo)_41.jpg
AgroStores (Maina),Homa Bay,fish farming supplies,+254119445309,agrostores_homabay@farmershub.co.ke,"AgroStores (Maina), located in Homa Bay County, specializes in fish farming supplies. Contact: +254119445309, Email: agrostores_homabay@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Homa Bay\AgroStores_(Maina)_42.jpg
