agrovet_name,region,specialty,phone,email,statement,image_path,region_encoded,specialty_encoded,phone_numeric,phone_scaled
VetServices (Chebet),Siaya,animal health care,25415630893,vetservice_siaya@yahoo.com,"VetServices (Chebet), located in Siaya County, specializes in animal health care. Contact: +25415630893, Email: vetservice_siaya@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Siaya\VetServices_(Chebet)_7477.jpg,18,0,25415630893,-0.7066978418477293
HarvestHub (Okello),Machakos,animal health care,25412410366,harvesthub_machakos@farmershub.co.ke,"HarvestHub (Okello), located in Machakos County, specializes in animal health care. Contact: +25412410366, Email: harvesthub_machakos@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\HarvestHub_(Okello)_6886.jpg,10,0,25412410366,-0.7067277278036617
AgroAgency (Mwangi),Mombasa,veterinary medicine,25479292433,agroagency_mombasa@outlook.com,"AgroAgency (Mwangi), located in Mombasa County, specializes in veterinary medicine. Contact: +25479292433, Email: agroagency_mombasa@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Mombasa\AgroAgency_(Mwangi)_4838.jpg,13,11,25479292433,-0.7061070733247431
BioServices (Mutiso),Uasin Gishu,beekeeping tools,25410244834,bioservice_uasingishu@yahoo.com,"BioServices (Mutiso), located in Uasin Gishu County, specializes in beekeeping tools. Contact: +25410244834, Email: bioservice_uasingishu@yahoo.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Uasin Gishu\BioServices_(Mutiso)_2188.jpg,19,1,25410244834,-0.7067478235811299
AnimalWorld (Wanjiku),Migori,crop protection chemicals,254119443270,animalworl_migori@outlook.com,"AnimalWorld (Wanjiku), located in Migori County, specializes in crop protection chemicals. Contact: +254119443270, Email: animalworl_migori@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Migori\AnimalWorld_(Wanjiku)_5836.jpg,12,2,254119443270,1.41563557074761
ProDistributors (Mwangi),Machakos,farm machinery,25419608882,prodistrib_machakos@agrovet.co.ke,"ProDistributors (Mwangi), located in Machakos County, specializes in farm machinery. Contact: +25419608882, Email: prodistrib_machakos@agrovet.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Machakos\ProDistributors_(Mwangi)_164.jpg,10,4,25419608882,-0.7066609267701803
BioSolutions (Njeri),Nairobi,dairy equipment,254110857921,biosolutio_nairobi@outlook.com,"BioSolutions (Njeri), located in Nairobi County, specializes in dairy equipment. Contact: +254110857921, Email: biosolutio_nairobi@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\BioSolutions_(Njeri)_7434.jpg,14,3,254110857921,1.4155559001341116
EcoServices (Otieno),Kajiado,fish farming supplies,25478149377,ecoservice_kajiado@gmail.com,"EcoServices (Otieno), located in Kajiado County, specializes in fish farming supplies. Contact: +25478149377, Email: ecoservice_kajiado@gmail.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Kajiado\EcoServices_(Otieno)_4548.jpg,5,6,25478149377,-0.7061176806946686
HarvestWorld (Cheruiyot),Nairobi,veterinary medicine,254113382614,harvestwor_nairobi@farmershub.co.ke,"HarvestWorld (Cheruiyot), located in Nairobi County, specializes in veterinary medicine. Contact: +254113382614, Email: harvestwor_nairobi@farmershub.co.ke. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Nairobi\HarvestWorld_(Cheruiyot)_1041.jpg,14,11,254113382614,1.4155793288660368
PrimeWorld (Ochieng),Naivasha,farm machinery,25412978522,primeworld_naivasha@outlook.com,"PrimeWorld (Ochieng), located in Naivasha County, specializes in farm machinery. Contact: +25412978522, Email: primeworld_naivasha@outlook.com. Providing reliable agricultural inputs and support to local farmers.",data\images\registered_agrovets_kenya\Naivasha\PrimeWorld_(Ochieng)_8910.jpg,15,4,25412978522,-0.7067224554102991
